episode,score,lines,pieces,reward
340,-188.0,0,17,-288.0
341,-92.0,0,10,-92.0
342,-92.0,0,17,-192.0
343,-124.0,0,14,-124.0
344,-165.0,0,17,-265.0
345,-4.5,0,28,-4.5
346,-203.0,0,20,-303.0
347,-42.0,0,23,-42.0
348,-139.0,0,21,-239.0
349,-172.5,0,23,-272.5
350,-131.5,0,16,-231.5
351,-46.0,0,20,-46.0
352,-25.0,0,23,-125.0
353,-126.5,0,19,-126.5
354,-2.5,0,17,-102.5
355,-115.0,0,22,-115.0
356,81.5,0,25,-18.5
357,-33.0,0,16,-33.0
358,-30.0,0,24,-30.0
359,-78.5,0,20,-178.5
360,92.0,0,20,92.0
361,-51.0,0,18,-51.0
362,-179.0,0,19,-279.0
363,32.5,0,19,32.5
364,154.5,0,25,154.5
365,-178.0,0,20,-178.0
366,-62.0,0,21,-62.0
367,-122.5,0,17,-122.5
368,-123.0,0,15,-123.0
369,-50.5,0,25,-150.5
370,188.0,0,18,188.0
371,21.5,0,20,-78.5
372,5.5,0,21,5.5
373,-37.0,0,18,-137.0
374,-72.0,0,21,-72.0
375,-167.5,0,18,-167.5
376,38.5,0,21,-61.5
377,-181.5,0,18,-181.5
378,-157.0,0,21,-157.0
379,-80.0,0,24,-180.0
380,-119.5,0,23,-219.5
381,4.5,0,22,4.5
382,-152.5,0,18,-152.5
383,-9.5,0,23,-109.5
384,-129.5,0,15,-129.5
385,-103.0,0,13,-103.0
386,-184.0,0,17,-284.0
387,44.5,0,24,-55.5
388,-16.5,0,20,-16.5
389,-79.5,0,14,-79.5
390,-120.0,0,17,-120.0
391,296.0,0,30,196.0
392,104.0,0,21,104.0
393,-109.5,0,19,-109.5
394,-190.5,0,24,-290.5
395,-128.5,0,20,-128.5
396,-84.0,0,18,-84.0
397,19.5,0,19,19.5
398,36.0,0,25,-64.0
399,-204.5,0,21,-204.5
400,-265.5,0,17,-265.5
401,-197.0,0,19,-297.0
402,-163.5,0,18,-263.5
403,40.0,0,21,40.0
404,4.0,0,21,-96.0
405,89.5,0,25,89.5
406,-2.0,0,15,-2.0
407,-195.5,0,19,-295.5
408,-116.5,0,15,-116.5
409,17.5,0,23,17.5
410,-43.5,0,21,-43.5
411,120.0,0,23,20.0
412,-150.0,0,17,-250.0
413,-98.0,0,15,-98.0
414,2.5,0,21,2.5
415,-26.0,0,24,-126.0
416,-69.5,0,23,-69.5
417,62.5,0,21,62.5
418,-156.0,0,20,-256.0
419,-159.5,0,22,-159.5
420,-58.5,0,21,-58.5
421,-162.5,0,24,-262.5
422,1.5,0,25,1.5
423,33.0,0,25,-67.0
424,-115.5,0,15,-215.5
425,-202.5,0,20,-202.5
426,-33.5,0,24,-133.5
427,-109.5,0,18,-209.5
428,-133.5,0,22,-233.5
429,-173.0,0,19,-173.0
430,-64.5,0,17,-64.5
431,-149.5,0,17,-249.5
432,81.0,0,22,81.0
433,172.0,0,21,72.0
434,-90.0,0,21,-190.0
435,-74.5,0,21,-74.5
436,-214.5,0,19,-214.5
437,-188.0,0,19,-288.0
438,-103.0,0,21,-103.0
439,-62.0,0,22,-162.0
440,55.0,0,23,55.0
441,-35.5,0,24,-135.5
442,-94.0,0,23,-194.0
443,29.5,0,24,-70.5
444,147.0,0,25,147.0
445,-177.5,0,23,-277.5
446,103.0,0,26,3.0
447,-3.5,0,19,-103.5
448,106.0,0,25,106.0
449,-119.0,0,17,-219.0
450,-167.0,0,15,-167.0
451,-13.0,0,15,-13.0
452,-132.5,0,21,-132.5
453,-89.5,0,12,-89.5
454,10.5,0,23,-89.5
455,-183.0,0,19,-183.0
456,-66.5,0,23,-66.5
457,309.0,0,28,209.0
458,63.5,0,19,63.5
459,-81.5,0,27,-181.5
460,87.0,0,19,-13.0
461,45.5,0,18,45.5
462,172.5,0,23,172.5
463,143.0,0,25,143.0
464,-150.0,0,15,-250.0
465,378.5,0,27,278.5
466,64.5,0,25,-35.5
467,-121.5,0,16,-121.5
468,-122.5,0,15,-222.5
469,-196.0,0,18,-196.0
470,-128.5,0,21,-228.5
471,-92.5,0,21,-192.5
472,-100.5,0,18,-100.5
473,-47.5,0,21,-147.5
474,-80.0,0,23,-180.0
475,-87.0,0,23,-187.0
476,-185.0,0,19,-285.0
477,-83.5,0,18,-83.5
478,-161.0,0,17,-161.0
479,-82.0,0,19,-82.0
480,-126.0,0,15,-126.0
481,152.5,0,26,152.5
482,-153.5,0,18,-253.5
483,-37.5,0,26,-37.5
484,-27.5,0,17,-27.5
485,-98.5,0,23,-198.5
486,-145.5,0,19,-145.5
487,-119.0,0,18,-119.0
488,-163.5,0,17,-163.5
489,19.0,0,22,19.0
490,-20.5,0,22,-20.5
491,-2.5,0,24,-102.5
492,2.0,0,18,2.0
493,19.5,0,21,19.5
494,-104.0,0,22,-204.0
495,144.5,0,28,44.5
496,-130.5,0,18,-130.5
497,-41.5,0,20,-141.5
498,40.5,0,22,40.5
499,-178.0,0,22,-278.0
500,-100.0,0,20,-100.0
501,-158.0,0,17,-258.0
502,-17.5,0,25,-117.5
503,34.5,0,19,34.5
504,26.5,0,26,-73.5
505,147.0,0,25,147.0
506,40.5,0,19,40.5
507,-143.0,0,23,-143.0
508,-15.0,0,22,-115.0
509,57.0,0,19,-43.0
510,-49.5,0,13,-49.5
511,-201.5,0,22,-201.5
512,0.0,0,22,0.0
513,20.5,0,19,-79.5
514,-88.5,0,23,-88.5
515,-147.5,0,21,-147.5
516,-37.5,0,20,-37.5
517,-154.0,0,18,-154.0
518,154.0,0,19,154.0
519,-141.5,0,23,-141.5
520,-25.0,0,18,-25.0
521,26.5,0,21,26.5
522,-172.0,0,15,-172.0
523,-74.0,0,21,-174.0
524,-139.0,0,22,-139.0
525,-160.0,0,16,-160.0
526,73.0,0,24,73.0
527,127.0,0,27,27.0
528,261.0,0,25,261.0
529,61.0,0,21,-39.0
530,21.0,0,23,21.0
531,-82.5,0,22,-182.5
532,-15.0,0,21,-115.0
533,-88.0,0,17,-88.0
534,-127.0,0,19,-127.0
535,122.5,0,24,22.5
536,-6.0,0,23,-106.0
537,-128.5,0,19,-228.5
538,-106.0,0,11,-106.0
539,-98.5,0,21,-198.5
540,41.0,0,22,41.0
541,-81.0,0,19,-181.0
542,-107.0,0,18,-207.0
543,-95.0,0,22,-195.0
544,-41.5,0,19,-141.5
545,-51.5,0,23,-151.5
546,-167.0,0,18,-167.0
547,-153.5,0,17,-153.5
548,-138.5,0,23,-138.5
549,29.5,0,25,-70.5
550,-97.0,0,17,-97.0
551,-126.5,0,18,-126.5
552,-67.5,0,22,-67.5
553,-268.0,0,19,-368.0
554,-57.5,0,22,-57.5
555,-85.5,0,21,-185.5
556,-175.0,0,19,-275.0
557,110.0,0,25,10.0
558,-66.0,0,25,-166.0
559,-230.0,0,14,-230.0
560,-132.5,0,21,-232.5
561,38.5,0,23,38.5
562,95.5,0,21,95.5
563,-176.0,0,20,-276.0
564,-118.5,0,13,-118.5
565,5.0,0,20,-95.0
566,156.0,0,27,56.0
567,-39.0,0,23,-139.0
568,109.0,0,24,109.0
569,47.0,0,19,47.0
570,-67.0,0,22,-67.0
571,7.5,0,21,7.5
572,-73.5,0,21,-73.5
573,-107.0,0,16,-107.0
574,-105.0,0,15,-205.0
575,-122.5,0,18,-222.5
576,-98.5,0,13,-98.5
577,-114.5,0,21,-114.5
578,226.5,0,25,226.5
579,-4.0,0,23,-4.0
580,-152.0,0,18,-252.0
581,105.0,0,26,105.0
582,267.5,0,28,167.5
583,-27.5,0,18,-27.5
584,-146.5,0,19,-246.5
585,101.0,0,26,1.0
586,-45.0,0,22,-45.0
587,-40.5,0,24,-140.5
588,-209.5,0,18,-309.5
589,-132.0,0,19,-132.0
590,-21.5,0,26,-121.5
591,42.0,0,26,42.0
592,-58.0,0,22,-58.0
593,-180.0,0,17,-180.0
594,-92.5,0,19,-192.5
595,66.0,0,23,66.0
596,-105.5,0,16,-105.5
597,-102.0,0,25,-102.0
598,-104.0,0,15,-104.0
599,19.0,0,18,19.0
600,-104.0,0,20,-104.0
601,-1.5,0,24,-101.5
602,34.5,0,24,-65.5
603,-141.5,0,21,-141.5
604,-154.5,0,17,-154.5
605,-71.0,0,24,-71.0
606,208.0,0,25,208.0
607,-164.0,0,21,-164.0
608,-6.5,0,26,-6.5
609,-54.5,0,23,-54.5
610,-146.0,0,13,-146.0
611,-217.5,0,16,-217.5
612,-103.5,0,26,-203.5
613,-115.0,0,21,-215.0
614,-137.0,0,20,-137.0
615,-68.5,0,18,-68.5
616,238.5,0,25,238.5
617,-100.5,0,20,-100.5
618,359.0,1,23,259.0
619,-37.0,0,18,-37.0
620,-85.5,0,20,-185.5
621,-224.0,0,21,-224.0
622,-108.0,0,22,-208.0
623,-218.5,0,20,-318.5
624,-72.0,0,16,-172.0
625,-128.0,0,17,-228.0
626,-94.0,0,23,-94.0
627,120.5,0,21,120.5
628,-99.5,0,20,-199.5
629,46.5,0,21,46.5
630,-172.5,0,18,-172.5
631,-21.5,0,14,-21.5
632,-215.5,0,24,-215.5
633,7.5,0,21,7.5
634,-163.5,0,20,-163.5
635,-37.0,0,25,-37.0
636,-193.5,0,20,-293.5
637,-81.0,0,20,-81.0
638,-127.5,0,24,-227.5
639,-109.5,0,22,-209.5
640,-53.0,0,22,-53.0
641,-127.5,0,18,-227.5
642,28.0,0,23,28.0
643,-71.5,0,23,-171.5
644,20.5,0,27,-79.5
645,-124.0,0,22,-224.0
646,-232.0,0,23,-332.0
647,-47.5,0,23,-147.5
648,26.0,0,20,26.0
649,-115.0,0,23,-215.0
650,-8.0,1,24,-108.0
651,-16.5,0,25,-116.5
652,-171.0,0,18,-171.0
653,-111.5,0,19,-211.5
654,-124.0,0,20,-124.0
655,44.0,0,26,44.0
656,-125.5,0,21,-125.5
657,-214.0,0,19,-314.0
658,-54.5,0,24,-154.5
659,-107.5,0,22,-107.5
660,2.0,0,24,-98.0
661,-192.0,0,21,-192.0
662,-140.0,0,19,-240.0
663,-1.0,0,22,-101.0
664,-126.5,0,21,-226.5
665,-103.0,0,22,-203.0
666,10.0,0,25,-90.0
667,151.5,1,28,151.5
668,68.5,0,27,68.5
669,-25.5,0,17,-25.5
670,55.5,0,26,55.5
671,117.5,0,23,117.5
672,-40.0,0,23,-140.0
673,-59.0,0,19,-59.0
674,85.0,0,24,-15.0
675,-41.5,0,22,-41.5
676,50.5,0,23,50.5
677,365.5,0,29,265.5
678,-27.5,0,24,-127.5
679,-0.5,0,22,-0.5
680,-34.0,0,22,-34.0
681,-217.5,0,15,-217.5
682,28.0,0,20,28.0
683,-140.0,0,19,-140.0
684,-89.0,0,20,-89.0
685,-38.0,0,21,-38.0
686,28.5,0,22,-71.5
687,-145.0,0,16,-245.0
688,-65.0,0,23,-165.0
689,-143.5,0,20,-243.5
690,-114.5,0,18,-114.5
691,-33.0,0,21,-133.0
692,-52.0,0,22,-52.0
693,-41.5,0,20,-41.5
694,-150.5,0,22,-250.5
695,-127.5,0,21,-127.5
696,-47.0,0,19,-47.0
697,208.0,0,25,108.0
698,-188.0,0,23,-188.0
699,-132.5,0,20,-132.5
700,-150.5,0,15,-250.5
701,-83.0,0,14,-83.0
702,121.0,0,21,121.0
703,-108.5,0,21,-208.5
704,-88.5,0,20,-88.5
705,-125.5,0,21,-225.5
706,41.5,0,18,-58.5
707,-104.5,0,26,-204.5
708,38.5,0,22,38.5
709,-101.5,0,19,-101.5
710,-86.5,0,24,-86.5
711,-172.0,0,17,-172.0
712,-154.5,0,19,-154.5
713,-119.5,0,22,-119.5
714,140.5,0,23,40.5
715,-118.0,0,23,-118.0
716,22.0,0,21,22.0
717,-134.0,0,21,-134.0
718,-85.5,0,18,-185.5
719,-76.0,0,23,-176.0
720,-62.0,0,14,-62.0
721,-19.0,0,20,-19.0
722,-14.0,0,18,-14.0
723,93.0,0,22,-7.0
724,-169.5,0,20,-169.5
725,331.0,0,28,331.0
726,25.5,0,25,25.5
727,93.5,0,20,-6.5
728,171.5,0,27,71.5
729,0.0,0,20,-100.0
730,-30.0,0,18,-30.0
731,-147.0,0,20,-147.0
732,-89.0,0,15,-189.0
733,-133.0,0,19,-133.0
734,-67.0,0,23,-167.0
735,-97.5,0,20,-97.5
736,-26.5,0,17,-26.5
737,-50.0,0,21,-150.0
738,-103.0,0,25,-203.0
739,-103.5,0,19,-103.5
740,-129.0,0,22,-129.0
741,59.5,0,19,59.5
742,325.5,0,26,325.5
743,-162.5,0,17,-162.5
744,14.5,0,24,-85.5
745,-190.5,0,23,-290.5
746,118.0,0,24,18.0
747,-84.0,0,24,-184.0
748,95.0,0,24,95.0
749,-43.0,0,23,-143.0
750,209.0,0,26,209.0
751,148.5,0,25,148.5
752,-103.0,0,22,-203.0
753,-122.0,0,24,-122.0
754,-65.0,0,21,-65.0
755,-100.5,0,13,-200.5
756,104.5,1,25,104.5
757,-74.0,0,14,-174.0
758,-42.0,0,20,-142.0
759,-165.0,0,21,-165.0
760,-132.0,0,16,-232.0
761,8.5,0,24,8.5
762,-69.0,0,19,-169.0
763,72.5,0,27,72.5
764,167.5,0,24,67.5
765,35.0,0,17,35.0
766,-20.5,0,26,-120.5
767,-136.5,0,18,-136.5
768,-44.5,0,23,-44.5
769,-77.5,0,17,-177.5
770,92.0,0,23,92.0
771,204.0,0,29,204.0
772,-141.0,0,15,-141.0
773,11.0,0,23,-89.0
774,-207.5,0,19,-207.5
775,-136.0,0,15,-136.0
776,25.5,0,22,25.5
777,-27.5,0,18,-27.5
778,195.5,1,26,195.5
779,-163.5,0,22,-163.5
780,-49.5,0,19,-149.5
781,-63.0,0,18,-63.0
782,33.5,0,25,-66.5
783,156.0,0,25,156.0
784,-111.5,0,20,-211.5
785,-87.0,0,19,-87.0
786,-24.5,0,24,-24.5
787,-50.0,0,20,-150.0
788,123.0,0,27,23.0
789,-192.5,0,15,-192.5
790,281.5,0,24,281.5
791,-142.0,0,22,-142.0
792,-24.0,0,21,-24.0
793,23.0,0,23,23.0
794,-94.0,0,18,-94.0
795,-106.0,0,17,-106.0
796,-141.0,0,18,-141.0
797,52.5,0,24,52.5
798,-77.0,0,20,-77.0
799,-121.5,0,21,-221.5
800,120.0,0,25,20.0
801,-25.0,0,18,-25.0
802,-67.5,0,15,-67.5
803,-70.0,0,19,-70.0
804,-136.0,0,20,-136.0
805,130.0,0,29,30.0
806,-93.5,0,14,-93.5
807,-163.0,0,23,-263.0
808,104.0,0,22,104.0
809,8.0,0,25,-92.0
810,-48.0,0,17,-148.0
811,134.0,0,23,134.0
812,57.5,0,25,57.5
813,-218.0,0,17,-218.0
814,-50.0,0,19,-50.0
815,-163.5,0,22,-263.5
816,143.0,0,22,143.0
817,-162.5,0,16,-162.5
818,29.5,0,24,29.5
819,-104.5,0,18,-204.5
820,-32.0,0,28,-32.0
821,74.5,0,22,-25.5
822,106.5,0,24,6.5
823,27.0,0,25,27.0
824,-31.5,0,26,-31.5
825,-38.5,0,25,-138.5
826,20.5,0,21,20.5
827,7.5,0,20,7.5
828,137.5,0,22,37.5
829,40.0,0,23,40.0
830,-94.0,0,20,-94.0
831,-153.5,0,13,-153.5
832,-191.0,0,21,-191.0
833,2.0,0,24,2.0
834,-123.5,0,25,-223.5
835,-0.5,0,21,-0.5
836,-139.0,0,22,-139.0
837,-7.0,0,16,-7.0
838,116.5,0,24,116.5
839,47.5,0,22,47.5
840,16.0,0,14,16.0
841,-20.0,0,19,-120.0
842,135.5,1,27,35.5
843,-126.5,0,13,-126.5
844,-35.5,0,25,-135.5
845,-90.0,0,24,-190.0
